Priority,Resource Usage
0.97982,6
0.97056,6
0.96058,6
0.93566,6
0.93806,6
0.93339,6
0.94278,6
0.98263,6
0.95271,6
0.96992,6
0.98571,6
0.96717,6
0.94035,6
0.94186,6
0.93087,6
0.91419,6
0.91917,6
0.90583,6
0.89456,6
0.89111,6
0.92984,6
0.94053,6
0.96052,6
0.97566,6
0.93806,6
0.95339,6
0.96278,6
0.89263,6
0.97271,6
0.92922,6
0.91971,6
0.92717,6
0.93035,6
0.94186,6
0.95087,6
0.96454,6
0.96217,6
0.95583,6
0.94561,6
0.92115,6
0.93971,6
0.94717,6
0.99035,6
0.89186,6
0.98087,6
0.96419,6
0.95917,6
0.94583,6
0.93562,6
0.92115,6
0.55709,15
0.53933,15
0.55258,15
0.59258,15
0.08798,2
0.06798,2
0.12798,2
0.09798,2
0.08798,2
0.12798,2
0.13798,2
0.09798,2
0.08798,2
0.07798,2
0.06798,2
0.05798,2
0.14798,2
0.04798,2
0.08798,2
0.14798,2
0.15798,2
0.09798,2
0.08798,2
0.07798,2
0.06798,2
0.05798,2
0.12798,2
0.08798,2
0.09798,2
0.13798,2
0.18798,2
0.09758,2
0.01718,2
0.08728,2
0.08738,2
0.06748,2
0.12748,2
0.08748,2
0.09785,2
0.14798,2
0.18741,2
0.09698,2
0.01659,2
0.08619,2
0.08659,2
0.06629,2
0.12529,2
0.08659,2
0.09598,2
0.14298,2
0.18298,2
0.09798,2
0.01798,2
0.08798,2
