Time,Class,Resource Usage,Priority
0,Class A,0.5327609568007671,0.9320326350537501
0,Class A,0.5471180708051057,0.9334587521748183
0,Class A,0.5230064858482468,0.9489182114202368
0,Class A,0.5316925659495608,0.9589613636049765
0,Class A,0.5201881612022361,0.9262737322809494
0,Class A,0.5300230611550392,0.9128481280870921
0,Class A,0.5398362526074574,0.9912630617651769
0,Class A,0.5379804857763836,0.9002974315924613
0,Class A,0.5343700099766405,0.9303361703838499
0,Class A,0.5127954954597633,0.9553806585960086
0,Class A,0.5526024747147594,0.9629611557138227
0,Class A,0.5311071441399038,0.9793131537252858
0,Class A,0.5113504854452933,0.9639226889505335
0,Class A,0.5060227420575653,0.9383881352874339
0,Class A,0.5347078772750349,0.9033339037325525
0,Class A,0.527761601454875,0.9249788983481864
0,Class A,0.5305504049588389,0.9735918515481858
0,Class A,0.5222356572481895,0.9074234463139642
0,Class A,0.5489283628016912,0.9455957346344336
0,Class A,0.5384899781991692,0.9645687501902975
0,Class A,0.5377030873147106,0.995642637628846
0,Class A,0.5503659338668894,0.9234556988221322
0,Class A,0.5182803603906689,0.9451432639951491
0,Class A,0.5239984144661785,0.9954754546354512
0,Class A,0.537230005107808,0.9955202436923126
0,Class A,0.5422243698174557,0.9441926827599573
0,Class A,0.5176785596699285,0.9360516660784999
0,Class A,0.5340809709432727,0.9651580809225674
0,Class A,0.5475455295534808,0.9619413994383123
0,Class A,0.5324962363959125,0.9443774932459162
0,Class A,0.5522180844803952,0.9937239290225997
0,Class A,0.5427551330682562,0.9706790406719621
0,Class A,0.5523112034176312,0.988806592497593
0,Class A,0.5230270757953797,0.9635665135386496
0,Class A,0.5502366487587467,0.993018835431983
0,Class A,0.5149232113326045,0.9152521349364148
0,Class A,0.5054456486100762,0.9117258226479351
0,Class A,0.5366346408717254,0.9558865583595242
0,Class A,0.5242006899472799,0.9850372344597791
0,Class A,0.547965944928269,0.9010076160320346
0,Class B,1.8271150118755357,0.6939836419458576
0,Class B,1.8180596352430418,0.6158228813764421
0,Class B,1.859737369721336,0.63878703870174
0,Class B,1.931384312979186,0.6075698848101757
0,Class B,1.9505357741230533,0.6208776843905512
0,Class B,1.963161772028353,0.6556647377724891
0,Class B,1.8755517710752962,0.6551214355654448
0,Class B,1.8507376977308638,0.6643840016557229
0,Class B,1.8828810987166709,0.6485699484180538
0,Class B,1.9057585924753353,0.6546041863637779
0,Class B,1.821276017615101,0.6315772673156828
0,Class B,1.924708790393171,0.6857510958717357
0,Class B,1.9640451347067889,0.6797024722959972
0,Class B,1.8748495688275915,0.6169148628266042
0,Class B,1.831794692631119,0.6064084713761091
0,Class B,1.9046988739571733,0.6183421593740487
0,Class B,1.8367226368511682,0.6310116412846646
0,Class B,1.8913360396816454,0.6884327406616956
0,Class B,1.9740162159753822,0.6184270661352945
0,Class B,1.8757238960171791,0.6549302366464579
0,Class B,1.8733254338500414,0.6814451270691183
0,Class B,1.8911421452354453,0.6878093658934974
0,Class B,1.8025223549184457,0.6336391148551941
0,Class B,1.8267917508926317,0.6444355306009065
0,Class B,1.9538015457139233,0.6681226273235341
0,Class B,1.896659972439789,0.6937331154158386
0,Class B,1.8689671539780934,0.6647882440546844
0,Class B,1.8587835072704044,0.6159167670064302
0,Class B,1.8961201854888108,0.6638107725800656
0,Class B,1.8657193113092303,0.6583259494807169
0,Class B,1.9565995598553576,0.6174970559857909
0,Class B,1.8042587000196173,0.6921209883218251
0,Class B,1.899023375994191,0.6395136371391157
0,Class B,1.9199899506760763,0.6375515682146972
0,Class B,1.8757734144431413,0.6655753916657821
0,Class B,1.9559499391525021,0.6564463775698017
0,Class B,1.9377268118683226,0.6537715160076387
0,Class B,1.8964313804092399,0.6193054721184691
0,Class B,1.9785572708281214,0.611406580169979
0,Class B,1.967893320383442,0.6035013634143774
0,Class C,0.8104196215320911,0.25645330830400054
0,Class C,0.8069132796709598,0.2746821894251185
0,Class C,0.8648432221126522,0.23079083702103587
0,Class C,0.8389065742277088,0.22132556655267963
0,Class C,0.8299878280393675,0.20153775465495755
0,Class C,0.7970040519182069,0.23229004636897504
0,Class C,0.836651301076982,0.20296534624662593
0,Class C,0.8178074255953259,0.20962096820928408
0,Class C,0.844772479814587,0.24600754855596257
0,Class C,0.8451169478394557,0.24717785518044716
0,Class C,0.8352697087719415,0.27423621199406933
0,Class C,0.8194825844790938,0.22191366408222274
0,Class C,0.8597186483521759,0.2640853693254942
0,Class C,0.8536535830593063,0.260326587203725
0,Class C,0.7982069741158401,0.27730820528883815
0,Class C,0.8661823826078878,0.2726799796491465
0,Class C,0.8116344038079573,0.27661965093059643
0,Class C,0.8512745272451017,0.2744594966651597
0,Class C,0.7982978892532931,0.23181112777303386
0,Class C,0.8520536197147335,0.2455125225353278
0,Class D,0.11648626243665808,0.4356800234276201
0,Class D,0.12451533774779176,0.44236930813823583
0,Class D,0.12253095984265855,0.40069389233215297
0,Class D,0.12170566985468241,0.43278801923815124
0,Class D,0.1224145499990574,0.488334635433141
0,Class D,0.11848404918382911,0.4130194564177378
0,Class D,0.11893546964993727,0.45827353983170016
0,Class D,0.11659728770747654,0.4967754632688087
0,Class D,0.11681738595370247,0.4271199694174464
0,Class D,0.11409068283445815,0.4912857879514228
0,Class D,0.11599259480998807,0.4755634504141404
0,Class D,0.11634594939500616,0.40249726028438787
0,Class D,0.11425580185601814,0.4241878382985842
0,Class D,0.11576179302990543,0.48285523396180985
0,Class D,0.12374761374695417,0.4804774429436043
0,Class E,0.4476604932784408,0.7462528386673727
0,Class E,0.44167898239851694,0.7422344136900862
0,Class E,0.42986582897832,0.7073753792658201
0,Class E,0.4534821680157963,0.7348328769554653
0,Class E,0.4506847020687972,0.7966818457490715
0,Class E,0.46962553141126967,0.7194749540371617
0,Class E,0.4330144895564302,0.7580864008107409
0,Class E,0.4298603737973529,0.7781687670867062
0,Class E,0.4576030711203315,0.7383640615778028
0,Class E,0.4545595437451465,0.792038645382334
1,Class A,0.5434932041503996,0.906676236034159
1,Class A,0.5458940617367684,0.9265500794278102
1,Class A,0.5241623248939482,0.9244205795118215
1,Class A,0.5181377353156608,0.935314034523489
1,Class A,0.5152675002001723,0.951810501913807
1,Class A,0.5510314547752102,0.9029467793985664
1,Class A,0.5482103142658414,0.9438875692783061
1,Class A,0.5558313187790558,0.9789134970213205
1,Class A,0.5155188796283587,0.9208056753147987
1,Class A,0.5482907146176274,0.9865659884957846
1,Class A,0.5051652107450405,0.9079450907531947
1,Class A,0.5330304730630577,0.9776187415891842
1,Class A,0.5474229184696116,0.9763049297842754
