Priority,Resource Usage
0.93661,10.0
0.94546,10.0
0.99351,10.0
0.92015,10.0
0.92968,10.0
0.95675,10.0
0.98264,10.0
0.97551,10.0
0.98397,10.0
0.95522,10.0
0.99366,10.0
0.99051,10.0
0.99585,10.0
0.99912,10.0
0.97648,10.0
0.92836,10.0
0.99846,10.0
0.98672,10.0
0.99333,10.0
0.93555,10.0
0.96854,10.0
0.99326,10.0
0.91412,10.0
0.96551,10.0
0.92585,10.0
0.94493,10.0
0.93827,10.0
0.96631,10.0
0.97423,10.0
0.91245,10.0
0.98994,10.0
0.92575,10.0
0.91245,10.0
0.97432,10.0
0.94201,10.0
0.91589,10.0
0.91808,10.0
0.97758,10.0
0.96207,10.0
0.9118,10.0
0.97898,10.0
0.93952,10.0
0.97164,10.0
0.94993,10.0
0.82437,10.0
0.99543,10.0
0.93102,10.0
0.98986,10.0
0.92747,10.0
0.97716,10.0
0.93674,10.0
0.93487,10.0
0.95201,10.0
0.93242,10.0
0.96678,10.0
0.87942,10.0
0.98661,10.0
0.9397,10.0
0.78109,3.0
0.76872,3.0
0.75396,3.0
0.78674,3.0
0.74866,3.0
0.77064,6.0
0.61246,6.0
0.79743,6.0
0.75984,6.0
0.75285,6.0
0.77069,6.0
0.73603,6.0
0.77724,6.0
0.77488,6.0
0.78769,6.0
0.75955,6.0
0.76647,6.0
0.76191,6.0
0.75344,6.0
0.7274,6.0
0.77058,6.0
0.77161,6.0
0.78905,6.0
0.67959,6.0
0.76367,6.0
0.72397,6.0
0.76275,6.0
0.74085,6.0
0.71531,6.0
0.7684,6.0
0.73808,6.0
0.77891,6.0
0.73506,6.0
0.76392,6.0
0.74534,6.0
0.62634,6.0
0.79842,6.0
0.63733,6.0
0.79292,6.0
0.72207,6.0
0.73999,6.0
0.79185,6.0
0.65336,6.0
0.69124,6.0
0.69034,6.0
0.6687,6.0
0.67381,6.0
0.63255,6.0
0.61471,6.0
0.66062,6.0
0.55674,6.0
0.69317,6.0
0.62379,6.0
0.66889,6.0
0.66329,6.0
0.65434,6.0
0.68993,6.0
0.69781,6.0
0.67017,6.0
0.67176,6.0
0.64113,6.0
0.64166,6.0
0.66415,6.0
0.61953,6.0
0.61466,6.0
0.63206,6.0
0.68993,6.0
0.69781,6.0
0.67017,6.0
0.67176,6.0
0.64113,6.0
0.64166,6.0
0.66415,6.0
0.61953,6.0
0.61466,6.0
0.63206,6.0
0.61605,3.0
0.66006,3.0
0.66792,3.0
0.66838,3.0
0.63677,3.0
0.67014,3.0
0.62092,3.0
0.67848,3.0
0.62418,3.0
0.48365,2.0
0.45036,2.0
0.42802,2.0
0.44857,2.0
0.43035,2.0
0.46746,2.0
0.4311,2.0
0.48001,2.0
0.47661,2.0
0.456,1.0
0.47902,1.0
0.41766,1.0
0.48669,1.0
0.45303,1.0
0.48205,1.0
0.47249,1.0
0.43379,1.0
0.4275,1.0
0.45655,1.0
0.44481,1.0
0.45453,1.0
0.42337,1.0
0.47468,1.0
0.46662,1.0
0.21372,2.5
0.24333,2.5
0.23693,2.5
0.23259,2.5
0.27072,2.5
