Priority,Resource Usage
0.9798,6
0.9705,6
0.9605,6
0.93566,6
0.93806,6
0.93339,6
0.94278,6
0.98263,6
0.97271,6
0.9999,6
0.96971,6
0.97717,6
0.98035,6
0.99186,6
0.98087,6
0.97419,6
0.96917,6
0.95583,6
0.97271,6
0.9699,6
0.94971,6
0.94717,6
0.92035,6
0.92186,6
0.91087,6
0.90419,6
0.89917,6
0.89583,6
0.9456,6
0.91115,6
0.9798,6
0.9705,6
0.93425,6
0.95666,6
0.95306,6
0.92339,6
0.94578,6
0.92363,6
0.97571,6
0.9999,6
0.51709,15
0.43933,15
0.45258,15
0.50258,15
0.08798,4
0.06798,4
0.12798,4
0.08798,4
0.09798,4
0.24798,4
0.18798,4
0.09798,4
0.01798,4
0.08798,4
